items_id,asks-for,p_contents_eng,a1_contents_eng,a2_contents_eng,correct_answers,p_contents_kz,a1_contents_kz,a2_contents_kz
528,cause,I paused to stop talking.,I lost my voice.,I ran out of breath.,2,Мен сөйлесуді тоқтату үшін кідірдім.,Мен дауысымды жоғалттым.,Мен дем алдым.
529,cause,The frozen food thawed.,I put it in the microwave.,I covered it with plastic wrap.,1,Мұздатылған тағам еріген.,Мен оны микротолқынды пешке қойдым.,Мен оны пластикалық орамамен жаптым.
530,cause,The employee faked sick.,He had stomach cramps.,He wanted a day off.,2,Қызметкер ауруды оятады.,Оның асқазанның қысылуы болды.,Ол демалыс күндерін қалады.
531,cause,The girl landed in the pool.,She ran on the pool deck.,She jumped off the diving board.,2,Қыз бассейнге қонды.,Ол бассейн палубасында жүгірді.,Ол сүңгуір тақтадан секірді.
532,cause,The movie tickets sold out.,It was opening day for the movie.,The movie received poor reviews.,1,Кино билеттері сатылды.,Бұл фильмнің ашылуы болды.,Фильмде нашар пікірлер алынған.
533,effect,The man lost weight.,People isolated him.,People complimented him.,2,Адам салмағын жоғалтты.,Адамдар оны оқшаулады.,Адамдар оны мақтады.
534,cause,The girl's hands became blistered.,She typed up a letter.,She climbed up a rope.,2,Қыздың қолдары жарылды.,Ол хат жазды.,Ол арқанға көтерілді.
535,effect,The circus performer juggled while riding a unicycle.,The audience cheered in astonishment.,The acrobat swung from a trapeze.,1,Цирк орындаушысы велосипедпен жүру кезінде жөке.,Көрермендер таңғалды.,Acrobat трапециядан бұрылды.
536,cause,I lost my patience.,My friend kept me waiting.,My friend arrived on time.,1,Мен шыдамдылығымды жоғалттым.,Менің досым мені күтті.,Менің досым уақытында келді.
537,effect,The warring countries wanted peace.,They developed nuclear weapons.,They negotiated a treaty.,2,Жаңарған елдер тыныштықты қалады.,Олар ядролық қаруды жасады.,Олар шартты келіссөздер жүргізді.
538,effect,The man took sleeping medication.,He became drowsy.,He ran a fever.,1,Ер адам ұйықтап жатқан дәрі қабылдады.,Ол ұйқышыл болып кетті.,Ол безгегінен жүгірді.
539,effect,The woman bumped into the sofa.,The leg of the sofa came loose.,She bruised her knee.,2,Әйел диванға соғылды.,Диванның аяғы босатылды.,Ол оның тізесін өсірді.
540,effect,The boy squeezed the balloon.,The balloon popped.,The balloon flew away.,1,Бала шарды сығып алды.,Шарланы пайда болды.,Шарда ұшып кетті.
541,effect,They travelers checked into their hotel room.,They unpacked their suitcases.,They went to the airport.,1,Олар саяхатшылар өздерінің қонақ бөлмесіне кірді.,Олар өз чемодандарын шығарып жіберді.,Олар әуежайға кетті.
542,effect,I bit into the peach.,The peach bruised.,Juice spilled out.,2,Мен шабдалыға аздап кіремін.,Шабдалы көгерген.,Шырын төгілді.
543,cause,My hands became sticky.,I ate a doughnut.,I had a sweet tooth.,1,Менің қолдарым жабысқақ болады.,Мен пончик жедім.,Менде тәтті тіс болды.
544,effect,I pushed the door.,The door opened.,The door locked.,1,Мен есікті итердім.,Есік ашылды.,Есік құлыпталған.
545,cause,Activists boycotted the products.,The products were tested for quality assurance.,The products were manufactured through child labor.,2,Белсенділер өнімдерді бостандыққа жіберді.,Өнімдер сапаны қамтамасыз ету үшін сыналды.,Өнімдер балалар еңбегі арқылы шығарылды.
546,effect,I drilled a hole in the wall.,A mouse crawled out of the hole.,Dust blew out of the hole.,2,Мен қабырғадағы тесік бұрылдым.,Тышқан тесікшесінен айқайлады.,Шаң тесіктен шығады.
547,cause,The woman felt envious of her sister.,Her sister was happy.,Her sister got divorced.,1,Әйел әйеліне қызғаныш сезінді.,Оның әпкесі бақытты болды.,Оның әпкесі ажырасқан.
548,effect,I spilled wine on my shirt.,I put on an apron.,I changed my shirt.,2,Мен жейдеге шарапты төгіп тастадым.,Мен алжапқыш кидім.,Мен көйлегімді өзгерттім.
549,cause,The cashier opened the cash register.,The customer searched his wallet.,The customer handed her money.,2,Кассир кассалық есепшотты ашты.,Клиент өзінің әмиянын іздеді.,Клиент оның ақшасын берді.
550,effect,The street musician attracted a crowd.,People gave him change.,He sent the crowd away.,1,Көшедегі музыкант көпшілікті қызықтырды.,Адамдар оған өзгеріс берді.,Ол көпшілікті жіберді.
551,cause,The little boy cried to his babysitter.,He missed his parents.,It was snack time.,1,Кішкентай бала өзінің сәбилеріне жылады.,Ол ата-анасын сағынды.,Бұл тағамдық уақыт болды.
552,effect,The pilot's radar detected a storm.,The pilot navigated away from the storm.,The pilot flew through the storm.,1,Ұшқыштың радары дауыл анықтады.,Ұшқыш дауылдан алыстады.,Ұшқыш дауылдан өтті.
553,effect,The tree shed its leaves.,The leaves turned colors.,The leaves accumulated on the ground.,2,Ағаш жапырақтарын төкті.,Жапырақтары түстерді бұрады.,Жер үстінде жиналған жапырақтар.
554,effect,The boy was in a mischievous mood.,He decided to play a card game with his sister.,He decided to play a practical joke on his sister.,2,Бала жаман көңіл-күйде болды.,Ол қарындасымен карта ойынын ойнауға шешім қабылдады.,Ол әпкесінде практикалық әзіл ойнауды ұйғарды.
555,effect,The child complained that he had to go to the bathroom.,His father gave him a soda to drink.,His father stopped the car at a gas station.,2,Бала оның ваннаға баруға мәжбүр болғанына шағымданды.,Әкесі оған ішуге сода берді.,Әкесі көлікті жанармай бекетінде тоқтатты.
556,effect,The child sprinkled fish food into the tank.,The fish leapt out of the tank.,The fish swam towards the food.,2,Бала балық тағамдарын резервуарға себеді.,Балық ыдыстан шығарылады.,Балық тағамға қарады.
557,effect,The woman's political views changed.,She switched her party affiliation.,She engaged in a protest.,1,Әйелдің саяси көзқарастары өзгерді.,Ол өзінің партиясының филиалын ауыстырды.,Ол наразылықпен айналысады.
558,effect,The bathroom sink was clogged.,I turned on the faucet.,I poured drain cleaner into it.,2,Жуынатын бөлме бітелген.,Мен кранды қостым.,Мен оған су төгетін тазартқышты құйдым.
559,cause,The passengers got off the train.,The train arrived at the station.,The train blared its whistle.,1,Жолаушылар пойыздан түсіп кетті.,Пойыз станцияға келді.,Пойыз өзінің ысқырығын бітті.
560,effect,The man pressed down on the moist flap of the envelope.,He put a stamp on the envelope.,He sealed the envelope shut.,2,Адам конверттің дымқыл қақпағын басып тұрды.,Ол конвертке мөр қойды.,Ол конвертті жабды.
561,cause,The friends lost touch.,They enjoyed each other's company.,They moved to different cities.,2,Достар жанасуды жоғалтты.,Олар бір-бірінің компаниясына ұнады.,Олар әр түрлі қалаларға көшті.
562,effect,The accountant mismanaged the company's funds.,She was fired from her position.,She went on maternity leave.,1,Бухгалтер компанияның қаражатына сәйкес келісті.,Ол өз позициясынан жұмыстан шығарылды.,Ол декреттік демалысқа кетті.
563,cause,I looked at the clock.,I heard the clock tick.,I wanted to check the time.,2,Мен сағатқа қарадым.,Мен тәулік бойы естідім.,Мен уақытты тексергім келді.
564,cause,My hand cramped up.,I wrote the essay by hand.,My wife and I held hands.,1,Менің қолым қысылды.,Мен эссе қолмен жаздым.,Әйелім екеуміз қолдарымды ұстадым.
565,cause,The bolt tightened.,I replaced the bolt.,I twisted the wrench.,2,Болт күшейтті.,Мен болтты ауыстырдым.,Мен кестені бұрдым.
566,effect,The couple signed a lease for an apartment.,The couple moved into the apartment.,The city condemned the apartment.,1,Ерлі-зайыптылар пәтерге жалға алуға қол қойды.,Ерлі-зайыптылар пәтерге көшті.,Қала пәтерді айыптады.
567,cause,The woman sat outside on the porch.,She wanted to watch the sunset.,She thought she saw lightning.,1,Әйел кіреберісте сыртқа отырды.,Ол күннің батуын көргісі келді.,Ол найзағайды көрді деп ойлады.
568,cause,The man wore a lifejacket in the water.,He couldn't swim.,The water was shallow.,1,Ер адам судағы қызмет көрсетуді киді.,Ол жүзе алмады.,Су таяз болды.
569,effect,The woman made a typo in the word processor.,She deleted the document.,She hit the backspace key.,2,Әйел Сөзді процессорға жіберді.,Ол құжатты жойды.,Ол арқанның кілтін қағып кетті.
570,cause,The girl bragged to her friends.,She got a bad grade.,She won a contest.,2,Қыз достарына мақтанған.,Ол жаман баға алды.,Ол байқауға жеңіске жетті.
571,cause,The lawn was muddy.,It poured overnight.,It was full of weeds.,1,Көгалдар балшық болды.,Ол түні бойы құйылды.,Бұл арамшөптерге толы болды.
572,cause,The woman overslept.,She stayed the night in a hotel.,She forgot to set her alarm clock.,2,Әйел көктем.,Ол түнде қонақүйде қалды.,Ол оятарын орнатуды ұмытып кетті.
573,cause,The man put on sunscreen.,He sat in the shade.,He went to the beach.,2,Ер адам күн сәулесінен қорғайды.,Ол көлеңкеде отырды.,Ол жағажайға кетті.
574,effect,The researchers proved the theory.,The researchers retracted the theory.,Individuals accepted the theory.,2,Зерттеушілер теорияны дәлелдеді.,Зерттеушілер теорияны қабылдады.,Жеке тұлғалар теорияны қабылдады.
575,cause,The fans at the game booed.,The game went into overtime.,The referee made a bad call.,2,Ойындағы жанкүйерлер.,Ойын артық жұмыстан өтті.,Төреші қоңырау шалды.
576,effect,I entered my combination on the lock.,I shut the lock.,The lock popped open.,2,Мен құлыптағы тіркесімді енгіздім.,Мен құлыпты жаптым.,Құлып ашылды.
577,effect,The crowd intensified.,The father handed his son some money.,The father grabbed his son's hand.,2,Жиналғандар күшейе түсті.,Әке Ұлына ақша табыстады.,Әкесі ұлының қолынан ұстап алды.
578,effect,The snow was blocking the driveway.,I gathered the snow into a snowball.,I shoveled the snow out of the way.,2,Қар жауып тұрды.,Мен қарды қарға жинадым.,Мен қарды қалайша жеңдім.
579,effect,The kayakers paddled their oars.,The kayak reached the shore.,The kayak hit a wave.,1,Каясерлер өздерінің есдерін қойды.,Қайақ жағаға жетті.,Қайк толқынға соқты.
580,effect,The girl lost control of her bike.,She let go of the handlebars.,She crashed into a fence.,2,Қыз Велосипедті бақылаудан айырылды.,Ол лақтырғыштарды жіберуге мүмкіндік берді.,Ол қоршауға құлады.
581,effect,I turned on the fan.,Water sprinkled onto my skin.,I felt cool air pass over me.,2,Мен желдеткішке қосылдым.,Су менің теріме себілген.,Мен өзімді салқын ауаны сезіндім.
582,cause,The surfers returned to the beach.,They were drenched.,They saw a shark.,2,Серферлер жағажайға оралды.,Оларды құрғатылды.,Олар акуланы көрді.
583,effect,I pulled the drain plug in the bathtub.,The water drained out of the tub.,The water splashed onto the floor.,1,Мен су төгетін штепсельді ваннаға шығардым.,Су ыдыстан су құйылды.,Су еденге бөлініп кетті.
584,effect,The husband felt guilty about cheating on his wife.,He accused her of infidelity.,He confessed his infidelity to her.,2,Күйеуі әйелін алдауды сезінді.,Ол оны опасыздық жасады деп айыптады.,Ол өзінің опасыздықын мойындады.
585,cause,The ink on the poster smeared.,I waited for the ink to dry.,I spilled water on the poster.,2,Постердегі сия жағылды.,Мен сияны кептіру күттім.,Мен суды плакатқа төгдім.
586,cause,The child woke up screaming.,He had a nightmare.,He wet the bed.,1,Балалар айқайлады.,Оның қорқынышы болды.,Ол төсекті сулады.
587,effect,The boy put his feet up on the table.,His father sat down at the table.,His father lectured him.,2,Бала аяғын үстелге қойды.,Әкесі үстелге отырды.,Әкесі оған дәріс оқыды.
588,cause,My friend turned his head in my direction.,I shouted his name.,I waved my arms.,1,Менің досым басын менің бағытыма бұрды.,Мен оның есімін айқайладым.,Мен құшағымды.
589,effect,The government oppressed its citizens.,The citizens staged a revolt.,The citizens registered to vote.,1,Үкімет өз азаматтарына қысым көрсетті.,Азаматтар көтеріліс болды.,Дауыс беруге тіркелген азаматтар.
590,effect,The boy was lost in the woods.,He pitched a tent.,He screamed for help.,2,Бала орманда жоғалды.,Ол шатырды тұрғызды.,Ол көмек сұрады.
591,cause,The woman travelled abroad.,She wanted to learn how to draw.,She wanted to learn about other cultures.,2,Әйел шетелге сапар шегеді.,Ол қалай сурет салуды үйренгісі келді.,Ол басқа мәдениеттер туралы білгісі келді.
592,cause,The man was jealous of his coworker.,His coworker got a promotion.,His coworker worked late.,1,Ер адам өзінің әріптесіне қызғанышпен қарады.,Оның әріптесі жарнама алды.,Оның әріптесі кеш жұмыс істеді.
593,cause,The man witnessed aliens.,He was hallucinating.,He was meditating.,1,Ер адам шетелдіктердің куәсі болды.,Ол галлюцинация болды.,Ол медитация жасады.
594,cause,The man's hair turned blonde.,He put bleach in it.,He put shampoo in it.,1,Ер адамның шашы аққұба бұрылды.,Ол оған ағартылған.,Ол сусабын қойды.
595,cause,The artist created new work.,She critiqued her previous work.,She felt a stroke of inspiration.,2,Суретші жаңа жұмыс жасады.,Ол оның алдыңғы жұмысын сынға алды.,Ол шабыттың соққысын сезінді.
596,cause,The son moved away from home.,He was discharged from the military.,He was going to college.,2,Ұл үйден аулақ болды.,Ол әскери қызметтен босатылды.,Ол колледжге бара жатқан еді.
597,cause,Books fell out of the bookcase.,The shelves were covered with dust.,An earthquake shook the bookcase.,2,Кітаптар кітап шкафынан құлады.,Сөрелер шаңмен жабылған.,Жер сілкінісі шкафты шайқады.
598,effect,The electricity in my house shut off.,I turned on a light.,I reset the circuit breaker.,2,Менің үйімдегі электр қуаты өшеді.,Мен жарыққа қосылдым.,Мен ажыратқышты қалпына келтіремін.
599,cause,We rode the roller coaster.,It looked scary.,It looked fun.,2,Роликті міндік.,Ол қорқынышты көрінді.,Ол көңілді көрінді.
600,cause,The bag of popcorn began to pop.,I poured butter into the bag.,I heated it in the microwave.,2,Попкорнның сөмкесі пайда бола бастады.,Мен сары майды сөмкеге құйдым.,Мен оны микротолқынды пеште қыздырдым.
601,effect,A tree fell on the power line.,The electricity in the neighborhood went out.,The forecast predicted heavy winds.,1,Ағаш электр желісіне құлады.,Көршілес электр қуаты сөніп қалды.,Болжам ауыр желді болжады.
602,effect,The speaker made politically incorrect comments.,He bored the audience.,He offended the audience.,2,Спикер саяси тұрғыдан дұрыс емес пікірлер жасады.,Ол аудиторияға скучно.,Ол аудиторияны ренжітті.
603,effect,I pricked myself with the pin.,A bead of sweat dripped from my face.,A drop of blood formed on my finger.,2,Мен өзімді PIN-мен байлап тастадым.,Менің бетімнен терді ішетін моншақ.,Саусағыма бір тамшы қан пайда болды.
604,cause,The fish floated on the surface of the tank.,It was hungry.,It was dead.,2,Балық резервуардың бетіне орналастырылды.,Бұл аш болды.,Бұл өлді.
605,cause,The man's voice sounded hoarse.,He had a cold.,He quit smoking.,1,Адамның дауысы естілді.,Ол суық болды.,Ол темекіні тастайды.
606,cause,The elevator doors opened.,The elevator arrived at the designated floor.,The elevator got stuck between floors.,1,Лифт есіктері ашылды.,Элеватор белгіленген еденге келді.,Лифт едендер арасында тұрып қалды.
607,cause,The teenager snuck out of the house.,He lied to his parents.,His parents grounded him.,2,Жасөспірім үйден шықты.,Ол ата-анасына өтірік айтты.,Оның ата-анасы оны жерге қосқан.
608,cause,The bathroom flooded.,The toilet overflowed.,The water heater broke.,1,Жуынатын бөлме су басқан.,Дәретхана толып кетті.,Су жылытқышы сынды.
609,cause,The puppy stayed near its owner.,The owner put a collar on the puppy.,The owner kept the puppy on a leash.,2,Күшік иесінің жанында қалды.,Иесі коллетке жырды қойды.,Иесі күшікті кірпікпен ұстады.
610,cause,The man caught his reflection.,He stood under the sprawling tree.,He stood over the calm lake.,2,Ер адам өзінің көрінісін ұстап алды.,Ол шашырап тұрған ағаштың астында тұрды.,Ол тыныш көлден тұрды.
611,effect,I missed my girlfriend's phone call.,I called her back.,I met her for dinner.,1,Мен қызымның телефон қоңырауын сағындым.,Мен оны кері шақырдым.,Мен оны кешкі асқа кездестім.
612,cause,The family searched the neighborhood.,Their dog ran away from home.,Expensive jewelry was missing from their home.,1,Отбасы көршілікті іздеді.,Олардың иттері үйден қашып кетті.,Қымбат зергерлік бұйымдар өз үйінен жоқ болды.
613,cause,I saw my breath when I exhaled.,The weather was chilly.,My chest felt tight.,1,Мен дем алған кезде демімді көрдім.,Ауа райы салқын болды.,Менің кеудем қатты сезінді.
614,cause,The employees formed a union.,They wanted better working conditions.,Their employer raised their wages.,1,Қызметкерлер одақ құрды.,Олар еңбек жағдайлары жақсы болды.,Олардың жұмыс берушісі жалақысын көтерді.
615,effect,I baked an apple pie.,A rotting smell filled the kitchen.,A warm aroma filled the kitchen.,2,Мен алма пирогын пісірдім.,Ас үйге шірілген иіс пайда болды.,Ас үйге жылы хош иіс құйылды.
616,cause,The woman struggled to walk.,She wore high heels.,She took off her shoes.,1,Әйел жүруге тырысты.,Ол биік өкшелерді киді.,Ол аяқ киімін шешіп алды.
617,cause,Steam rose off of the pot of water.,The water boiled.,I covered the pot.,1,Бу кастрюльден өсті.,Су қайнатылды.,Мен кастрюльді жаптым.
618,effect,All my socks were in the laundry.,I wore sandals.,I wore boots.,1,Менің барлық шұлығым кірде болды.,Мен сандалдарды кидім.,Мен етік кидім.
619,effect,The politician's argument was considered absurd.,He lost the support of voters.,He was accused of corruption.,1,Саясаткердің дауы абсурдтық болып саналды.,Ол сайлаушылардың қолдауынан айрылды.,Ол сыбайлас жемқорлық жасады деп айыпталған.
620,effect,Everyone disapproved of the couple's engagement.,The couple got pregnant.,The couple eloped.,2,Әркім ерлі-зайыптылардың келіспеушілігінен риза.,Ерлі-зайыптылар жүкті болды.,Ерлі-зайыптылар.
621,cause,The building was dedicated to the millionaire.,The millionaire wanted the building torn down.,The millionaire contributed the funds to build it.,2,Ғимарат миллионерге арналды.,Миллионер ғимараттың жыртылғанын қалады.,Миллионер қаражатты құруға ықпал етті.
622,cause,The sale associate accused the girl of stealing.,The sales associate saw the girl put merchandise in her purse.,The sales associate helped the girl find the purse she liked.,1,Сату қауымдастығы ұрлау қызын ұрлады деп айыптады.,Сату қауымдастығы қызды өзінің әмиянында тауар қойғанын көрді.,Сату қауымдастығы қызға ұнаған әмиянды табуға көмектесті.
623,effect,The country declared war on the neighboring territory.,Soldiers were sent out to fight.,Soldiers were reunited with their families.,1,Ел көрші аумаққа соғыс жариялады.,Жауынгерлер күресуге жіберілді.,Жауынгерлер өз отбасыларымен қайта қауышқан.
624,effect,The court upheld the controversial ruling.,A riot broke loose in front of the courthouse.,A couple exchanged vows in front of the courthouse.,1,Сот даулы шешімдерді қолдады.,Сот ғимаратының алдында тәртіпсіздіктер босатылды.,Ерлі-зайыптылар сот ғимаратының алдына ант берді.
625,cause,The girl smelled something burning.,She took the cookies out of the jar.,She left the cookies in the oven.,2,Қыз бір нәрсені иіскеді.,Ол cookie файлдарын құмырадан шығарды.,Ол печеньелерді пеште қалдырды.
626,effect,The rain was pouring down.,The storm worsened.,I dashed to get inside.,2,Жаңбыр жауып тұрды.,Дауыл нашарлады.,Мен ішке кірдім.
627,cause,The building was evacuated.,The elevator stopped functioning.,The fire alarm went off.,2,Ғимарат эвакуацияланды.,Лифт жұмысын тоқтатты.,Өрт дабылы сөніп қалды.
628,effect,The father resented his son's alcoholism.,The father bought his son a beer.,The father kicked his son out of the house.,2,Әкесі ұлының алкоголизміне наразы болды.,Әкесі ұлын сыра сатып алды.,Әкесі Ұлын үйден шығарды.
629,cause,The lawyer took the stairs up to her office.,The secretary went home for the day.,The elevator was out of order.,2,Адвокат баспалдақтарды өз кеңсесіне көтерді.,Хатшы үйге кетті.,Лифт тәртіптен тыс болды.
630,cause,The man became annoyed with his friend.,His friend interrupted him.,His friend bought him lunch.,1,Ер адам досымен ашуланды.,Досы оған тоқтады.,Оның досы оны түскі ас сатып алды.
631,effect,The girl handed her money to the cashier.,The cashier gave the girl her change.,The cashier forgot to give the girl a receipt.,1,Қыз оны кассирге тапсырды.,Кассир қызға өзгерді.,Кассир қызға түбіртек беруді ұмытып кетті.
632,cause,The woman was put in a wheelchair.,She was paralyzed in an accident.,She entered the hospital in a stretcher.,1,Әйел мүгедектер арбасына қойылды.,Ол апатқа шал болған.,Ол ауруханаға зембілмен кірді.
633,cause,Citizens hung the national flag up outside their homes.,The country was commemorating its independence.,The country was facing economic hardship.,1,Азаматтар мемлекеттік жалаушаны үйлерінен тыс ақтады.,Ел өз тәуелсіздігін еске алды.,Ел экономикалық қиындықтарға кезіді.
634,effect,The team lost the tournament.,They disappointed their fans.,They inspired their fans.,1,Команда турнирден айырылды.,Олар өз жанкүйерлерінен көңзен көңілі қалды.,Олар өз жанкүйерлерін шабыттандырды.
635,effect,My friend pointed out that I had food stuck in my teeth.,I felt embarrassed.,I felt proud.,1,Менің досым менің тамағымның менің тістерімде тұрып қалғанын айтты.,Мен ұялдым.,Мен өзімді мақтан тұтамын.
636,cause,The boy failed his history exam.,He paid attention in class.,He forgot to study.,2,Бала өзінің тарих емтиханын сәтсіз аяқтады.,Ол сыныпта назар аударды.,Оқуды ұмытып кетті.
637,cause,The downtown building collapsed.,An earthquake hit the city.,Crime rates in the city increased.,1,Қала орталығындағы ғимарат құлады.,Қалаға жер сілкінісі болды.,Қаладағы қылмыс деңгейі өсті.
638,effect,The man's girlfriend broke up with him.,He begged her to take him back.,She introduced him to her parents.,1,Ер адамның қызы онымен ажырасқан.,Ол одан оны қайтып тастауын өтінді.,Ол оны ата-анасына таныстырды.
639,effect,The two children simultaneously reached down to retrieve the ball.,The ball rolled away.,Their heads collided.,2,Екі бала допты алуға бір уақытта жетті.,Доп сөніп қалды.,Олардың бастары соқтығысқан.
640,cause,The raccoon ransacked the garbage can.,There was cardboard in the garbage can.,The lid was off the garbage can.,2,Ракон қоқыс жинады.,Қоқыста картон болды.,Қақпа қоқыс тастады.
641,cause,The boy sharpened the pencil.,It was cheap.,It was dull.,2,Бала қарындашты қайраған.,Бұл арзан болды.,Бұл түтіккен еді.
642,cause,The cashier denied the woman a refund for the dress.,She lost her receipt.,The dress didn't fit.,1,Кассир әйелді көйлек үшін қайтарудан бас тартты.,Ол оның түбіртегін жоғалтты.,Көйлек жарамады.
643,effect,The scratch in my skin was deep.,It healed quickly.,It left a scar.,2,Менің терімдегі тырнақ терең болды.,Ол тез емделді.,Ол тыртық қалды.
644,cause,The man received strange looks from passengers on the train.,He was staring at the ground.,He was talking to himself.,2,Ер адам пойызға жолаушылардан біртүрлі көрініс алды.,Ол жерге қарап тұрды.,Ол өзібен сөйлескен.
645,effect,The child left crumbs on the floor.,Ants crawled to the crumbs.,The child put the bread away.,1,Баланың еденге үгінділер қалды.,Құмырсқалар үгінділерге түсіп кетті.,Бала нанды алып тастайды.
646,cause,The woman handed her sister a tissue.,The woman's sister folded her hands.,The woman's sister began to cry.,2,Әйел оған әпкесін тін сыйға берді.,Әйелдің қарындасы қолын бүктеді.,Әйелдің әпкесі жылай бастады.
647,cause,The man took a mint.,His lips were chapped.,He worried about bad breath.,2,Ер адам жалбыз алды.,Оның ерні жарылды.,Ол жаман дем туралы алаңдады.
